,,Sensitivity,,Specificity
10001,3.271,0.96,-15.27,0.00
10002,3.271,0.96,-15.27,0.00
10003,3.112,0.96,7.807,1.00
10004,3.112,0.96,7.807,1.00
10005,3.112,0.96,7.807,1.00
10006,3.112,0.96,7.807,1.00
10007,3.112,0.96,7.807,1.00
10008,3.112,0.96,7.807,1.00
10009,3.112,0.96,7.807,1.00
10010,3.112,0.96,7.807,1.00
10011,4.318,0.99,-9.617,0.00
10012,4.318,0.99,-9.617,0.00
10013,4.318,0.99,-9.617,0.00
10014,4.318,0.99,-9.617,0.00
10015,3.556,0.97,11.79,1.00
10016,3.556,0.97,11.79,1.00
10017,2.596,0.93,9.426,1.00
10018,2.596,0.93,9.426,1.00
10019,2.486,0.92,7.607,1.00
10020,3.315,0.96,3.399,0.97
10021,3.893,0.98,18.42,1.00
10022,2.71,0.94,12.29,1.00
10023,2.71,0.94,12.29,1.00
10024,2.71,0.94,12.29,1.00
10025,2.71,0.94,12.29,1.00
10026,2.71,0.94,12.29,1.00
10027,2.71,0.94,12.29,1.00
10028,2.71,0.94,12.29,1.00
10029,2.71,0.94,12.29,1.00
10030,2.71,0.94,12.29,1.00
10031,3.289,0.96,-1.117,0.25
10032,3.289,0.96,-1.117,0.25
10033,3.289,0.96,-1.117,0.25
10034,3.289,0.96,-1.117,0.25
10035,3.289,0.96,-1.117,0.25
10036,3.19,0.96,-0.6195,0.35
10037,3.445,0.97,12.24,1.00
10038,3.902,0.98,10.22,1.00
10039,3.902,0.98,10.22,1.00
10040,3.902,0.98,10.22,1.00
10041,4.584,0.99,-7.965,0.00
10042,3.105,0.96,-7.933,0.00
10043,3.882,0.98,0.2615,0.57
10044,3.882,0.98,0.2615,0.57
10045,3.882,0.98,0.2615,0.57
10046,3.882,0.98,0.2615,0.57
10047,3.882,0.98,0.2615,0.57
10048,3.882,0.98,0.2615,0.57
10049,3.592,0.97,2.739,0.94
10050,3.592,0.97,2.739,0.94
10051,2.518,0.93,-14.64,0.00
10052,3.132,0.96,-7.757,0.00
10053,3.132,0.96,-7.757,0.00
10054,3.132,0.96,-7.757,0.00
10055,2.948,0.95,0.2285,0.56
10056,3.395,0.97,2.469,0.92
10057,3.801,0.98,2.888,0.95
10058,3.801,0.98,2.888,0.95
10059,3.801,0.98,2.888,0.95
10060,3.801,0.98,2.888,0.95
10061,3.775,0.98,-3.763,0.02
10062,3.775,0.98,-3.763,0.02
10063,4.599,0.99,5.264,0.99
10064,4.599,0.99,5.264,0.99
10065,4.599,0.99,5.264,0.99
10066,4.599,0.99,5.264,0.99
10067,4.599,0.99,5.264,0.99
10068,4.599,0.99,5.264,0.99
10069,4.599,0.99,5.264,0.99
10070,4.599,0.99,5.264,0.99
10071,2.299,0.91,7.921,1.00
10072,2.299,0.91,7.921,1.00
10073,2.299,0.91,7.921,1.00
10074,2.299,0.91,7.921,1.00
10075,2.299,0.91,7.921,1.00
10076,2.299,0.91,7.921,1.00
10077,2.299,0.91,7.921,1.00
10078,2.516,0.93,3.274,0.96
10079,2.516,0.93,3.274,0.96
10080,2.516,0.93,3.274,0.96
10081,3.642,0.97,6.393,1.00
10082,3.642,0.97,6.393,1.00
10083,3.642,0.97,6.393,1.00
10084,3.648,0.97,4.154,0.98
10085,3.648,0.97,4.154,0.98
10086,3.648,0.97,4.154,0.98
10087,3.648,0.97,4.154,0.98
10088,3.648,0.97,4.154,0.98
10089,3.648,0.97,4.154,0.98
10090,3.648,0.97,4.154,0.98
10091,4.539,0.99,-4.32,0.01
10092,4.539,0.99,-4.32,0.01
10093,2.189,0.90,3.553,0.97
10094,2.189,0.90,3.553,0.97
10095,2.189,0.90,3.553,0.97
10096,2.189,0.90,3.553,0.97
10097,2.189,0.90,3.553,0.97
10098,2.189,0.90,3.553,0.97
10099,2.189,0.90,3.553,0.97
10100,2.189,0.90,3.553,0.97
10101,3.655,0.97,-9.67,0.00
10102,2.47,0.92,5.265,0.99
10103,2.47,0.92,5.265,0.99
10104,2.47,0.92,5.265,0.99
10105,2.47,0.92,5.265,0.99
10106,2.47,0.92,5.265,0.99
10107,2.47,0.92,5.265,0.99
10108,2.47,0.92,5.265,0.99
10109,2.47,0.92,5.265,0.99
10110,2.47,0.92,5.265,0.99
10111,3.617,0.97,-10.07,0.00
10112,3.763,0.98,10.52,1.00
10113,3.763,0.98,10.52,1.00
10114,3.059,0.96,7.067,1.00
10115,3.059,0.96,7.067,1.00
10116,3.059,0.96,7.067,1.00
10117,3.502,0.97,2.817,0.94
10118,3.502,0.97,2.817,0.94
10119,3.502,0.97,2.817,0.94
10120,3.502,0.97,2.817,0.94
10121,4.274,0.99,-4.643,0.01
10122,4.274,0.99,-4.643,0.01
10123,4.274,0.99,-4.643,0.01
10124,1.792,0.86,-2.909,0.05
10125,2.792,0.94,2.679,0.94
10126,2.792,0.94,2.679,0.94
10127,2.792,0.94,2.679,0.94
10128,2.792,0.94,2.679,0.94
10129,2.792,0.94,2.679,0.94
10130,2.792,0.94,2.679,0.94
10131,4.079,0.98,-14.26,0.00
10132,3.193,0.96,14.07,1.00
10133,3.193,0.96,14.07,1.00
10134,3.231,0.96,2.756,0.94
10135,3.231,0.96,2.756,0.94
10136,3.184,0.96,4.426,0.99
10137,3.184,0.96,4.426,0.99
10138,3.184,0.96,4.426,0.99
10139,3.184,0.96,4.426,0.99
10140,3.184,0.96,4.426,0.99
10141,3.346,0.97,-4.593,0.01
10142,4.073,0.98,-0.831,0.30
10143,3.61,0.97,1.451,0.81
10144,3.61,0.97,1.451,0.81
10145,3.61,0.97,1.451,0.81
10146,3.61,0.97,1.451,0.81
10147,3.61,0.97,1.451,0.81
10148,3.61,0.97,1.451,0.81
10149,3.61,0.97,1.451,0.81
10150,3.61,0.97,1.451,0.81
10151,2.291,0.91,11.7,1.00
10152,2.291,0.91,11.7,1.00
10153,2.291,0.91,11.7,1.00
10154,2.291,0.91,11.7,1.00
10155,2.291,0.91,11.7,1.00
10156,2.291,0.91,11.7,1.00
10157,2.291,0.91,11.7,1.00
10158,2.291,0.91,11.7,1.00
10159,3.291,0.96,10.37,1.00
10160,3.291,0.96,10.37,1.00
10161,3.184,0.96,6.493,1.00
10162,3.184,0.96,6.493,1.00
10163,3.184,0.96,6.493,1.00
10164,3.184,0.96,6.493,1.00
10165,3.184,0.96,6.493,1.00
10166,3.184,0.96,6.493,1.00
10167,3.184,0.96,6.493,1.00
10168,3.184,0.96,6.493,1.00
10169,3.184,0.96,6.493,1.00
10170,3.184,0.96,6.493,1.00
10171,3.762,0.98,-19.37,0.00
10172,3.137,0.96,2.663,0.93
10173,3.137,0.96,2.663,0.93
10174,3.137,0.96,2.663,0.93
10175,3.137,0.96,2.663,0.93
10176,3.137,0.96,2.663,0.93
10177,3.137,0.96,2.663,0.93
10178,3.137,0.96,2.663,0.93
10179,3.137,0.96,2.663,0.93
10180,3.137,0.96,2.663,0.93
10181,2.931,0.95,18.72,1.00
10182,2.931,0.95,18.72,1.00
10183,2.931,0.95,18.72,1.00
10184,2.931,0.95,18.72,1.00
10185,2.931,0.95,18.72,1.00
10186,2.925,0.95,13.12,1.00
10187,2.925,0.95,13.12,1.00
10188,2.925,0.95,13.12,1.00
10189,2.925,0.95,13.12,1.00
10190,3.371,0.97,2.222,0.90
10191,4.258,0.99,-4.876,0.01
10192,4.258,0.99,-4.876,0.01
10193,2.529,0.93,7.835,1.00
10194,2.529,0.93,7.835,1.00
10195,2.529,0.93,7.835,1.00
10196,2.529,0.93,7.835,1.00
10197,2.529,0.93,7.835,1.00
10198,2.529,0.93,7.835,1.00
10199,2.529,0.93,7.835,1.00
10200,2.529,0.93,7.835,1.00
10201,3.541,0.97,-0.4174,0.40
10202,3.541,0.97,-0.4174,0.40
10203,3.542,0.97,10.2,1.00
10204,3.542,0.97,10.2,1.00
10205,3.022,0.95,5.796,1.00
10206,3.568,0.97,2.984,0.95
10207,3.568,0.97,2.984,0.95
10208,3.568,0.97,2.984,0.95
10209,3.568,0.97,2.984,0.95
10210,3.568,0.97,2.984,0.95
10211,3.422,0.97,-5.059,0.01
10212,3.041,0.95,3.391,0.97
10213,3.041,0.95,3.391,0.97
10214,3.041,0.95,3.391,0.97
10215,3.041,0.95,3.391,0.97
10216,3.041,0.95,3.391,0.97
10217,3.041,0.95,3.391,0.97
10218,3.041,0.95,3.391,0.97
10219,3.041,0.95,3.391,0.97
10220,3.041,0.95,3.391,0.97
10221,3.675,0.98,-6.537,0.00
10222,4.38,0.99,9.756,1.00
10223,4.38,0.99,9.756,1.00
10224,4.38,0.99,9.756,1.00
10225,4.38,0.99,9.756,1.00
10226,2.526,0.93,3.015,0.95
10227,2.526,0.93,3.015,0.95
10228,2.526,0.93,3.015,0.95
10229,2.526,0.93,3.015,0.95
10230,2.526,0.93,3.015,0.95
10231,4.202,0.99,-17.22,0.00
10232,3.313,0.96,3.16,0.96
10233,3.313,0.96,3.16,0.96
10234,3.313,0.96,3.16,0.96
10235,3.313,0.96,3.16,0.96
10236,3.313,0.96,3.16,0.96
10237,2.048,0.89,4.298,0.99
10238,2.048,0.89,4.298,0.99
10239,2.048,0.89,4.298,0.99
10240,2.048,0.89,4.298,0.99
10241,3.938,0.98,26.21,1.00
10242,2.78,0.94,11.99,1.00
10243,2.78,0.94,11.99,1.00
10244,2.78,0.94,11.99,1.00
10245,2.78,0.94,11.99,1.00
10246,2.032,0.88,9.761,1.00
10247,2.032,0.88,9.761,1.00
10248,2.032,0.88,9.761,1.00
10249,2.032,0.88,9.761,1.00
10250,2.032,0.88,9.761,1.00
10251,4.629,0.99,-9.87,0.00
10252,3.556,0.97,-8.643,0.00
10253,3.018,0.95,-8.225,0.00
10254,2.444,0.92,5.703,1.00
10255,2.444,0.92,5.703,1.00
10256,2.444,0.92,5.703,1.00
10257,2.444,0.92,5.703,1.00
10258,2.444,0.92,5.703,1.00
