"","No screening","0.9999 0 IgAEMA","0.9999 0 IgAEMA plus HLA","0.766 0.625 IgAEMA","0.766 0.625 IgAEMA plus HLA","0.409 0.922 IgAEMA","0.409 0.922 IgAEMA plus HLA","0.123 0.989 IgAEMA","0.123 0.989 IgAEMA plus HLA","0.002 0.9999 IgAEMA","0.002 0.9999 IgAEMA plus HLA","0.773 0.659 IgAEMA","0.773 0.659 IgAEMA plus HLA","0.584 0.889 IgAEMA","0.584 0.889 IgAEMA plus HLA","0.335 0.97 IgAEMA","0.335 0.97 IgAEMA plus HLA","0.1 0.996 IgAEMA","0.1 0.996 IgAEMA plus HLA"
"1",13333.6416206394,15065.1230508567,15411.6762014378,14111.7495539177,15008.826432739,13990.3488444001,14871.4517447817,14055.3541589349,14885.7915323037,14203.3693741158,14918.8117503166,14100.2956081963,14992.7575075221,14032.7631980187,14896.0592359442,14101.9647092281,14899.8965537259,14296.2265914316,14356.9457426314
"2",13418.6298952233,15184.7727465278,15565.1029735247,14197.7517993264,15131.5468213761,14078.2588413267,14979.2498998467,14148.177684194,14991.3328949675,14303.9599734945,15028.7116037588,14186.6408258229,15114.7477660525,14121.8921037892,15005.7516369242,14196.6717352335,15006.3275714567,14401.5660839253,15047.6623496993
"3",13605.3289639427,15323.2745762745,15691.3229424722,14381.9478948606,15273.8280553395,14260.9814104634,15134.6559460089,14325.7340242629,15156.0887787965,14472.4108286774,15198.3976236228,14370.5205044968,15257.8240641112,14303.1799449633,15160.3292012697,14371.8905152477,15170.6637559765,14564.0249517536,15218.548763658
"4",13635.5839662879,15217.6031569097,15467.2186954984,14408.0226894426,15094.067183295,14278.5282204373,14982.6962873688,14322.2578014133,15019.1556082795,14437.769199519,15070.3667634356,14395.0323267241,15080.5757317178,14315.3192721822,15005.9752618946,14360.477315952,15032.3132773035,14511.3237269003,15092.9929495528
"5",12969.0302800263,15085.3323287815,15431.8494262411,13764.7285405177,15016.4906407799,13666.8153135636,14881.3223046006,13791.6668635564,14901.6338718181,14029.2726279088,14941.9371596307,13757.4978449633,15001.9614106227,13724.1390994612,14907.7085027352,13860.1601924888,14916.5702870824,14174.3105833728,14961.4137271782
"6",11646.7840826764,15070.6094199809,15387.4488946598,12496.7149065163,15001.7714324657,12479.0287298733,14894.0404335793,12806.5914484283,14923.4407021388,13348.6236757292,14964.4208655615,12503.8721932632,14991.6312772291,12586.7720182584,14921.0529701555,12949.4511544521,14938.9034003331,13671.6164130008,14983.6006276006
"7",13329.1010493628,15063.9141396398,15391.4778878628,14110.5517975235,14982.9209126194,13989.8314914681,14858.4325058664,14056.9052403576,14894.5697816356,14207.4572035935,14950.2167967219,14099.1616273159,14968.7834496047,14032.4860135586,14884.1545838501,14103.6775147118,14908.9936933138,14301.4125475023,14975.476848578
"8",11885.8886635512,15077.280472777,15382.6873806477,12729.16721149,14982.0740212643,12698.026097121,14872.4165350876,12991.5601243029,14904.7958570949,13480.2334772013,14950.6574066518,12733.9473149089,14972.591369862,12797.4781232167,14900.5902441378,13121.6582684316,14920.6340256194,13770.8437134197,14971.9949417608
"9",9496.39150943577,14860.0365116761,15317.3951313967,10430.2679679241,14844.2632839626,10528.6549993,14737.8163773568,11152.9767944139,14775.4044406137,12143.0671503606,14825.2372943374,10458.3311972157,14841.8265229748,10710.413278827,14775.754992311,11405.3195194005,14796.2030244492,12729.0773359265,14849.4532492899
"10",13594.6335024821,15290.3788317742,15601.7389063952,14375.665212462,15186.8575923195,14251.2254344062,15046.613554565,14310.3600563969,15065.7499278122,14449.3404446082,15108.6149870094,14363.7083079595,15171.3580738968,14292.2735584947,15072.1675979919,14354.7625094982,15080.1323379216,14536.6852547644,15129.4916221661
