Age,Males,Females
0,0.004267,0.003536
1,0.000243,0.000213
2,0.000132,0.000127
3,0.000101,0.000098
4,0.000097,0.000068
5,0.000085,0.000086
6,0.000088,0.000082
7,0.000069,0.000062
8,0.000067,0.000064
9,0.000059,0.000053
10,0.000074,0.000064
11,0.000085,0.000066
12,0.000105,0.000060
13,0.000127,0.000080
14,0.000121,0.000101
15,0.000174,0.000112
16,0.000227,0.000147
17,0.000316,0.000159
18,0.000400,0.000227
19,0.000448,0.000200
20,0.000508,0.000190
21,0.000513,0.000211
22,0.000504,0.000229
23,0.000505,0.000222
24,0.000552,0.000222
25,0.000598,0.000254
26,0.000581,0.000262
27,0.000621,0.000292
28,0.000695,0.000314
29,0.000732,0.000320
30,0.000771,0.000370
31,0.000835,0.000394
32,0.000835,0.000453
33,0.000929,0.000486
34,0.000957,0.000556
35,0.001073,0.000582
36,0.001146,0.000645
37,0.001309,0.000784
38,0.001261,0.000732
39,0.001399,0.000852
40,0.001529,0.000902
41,0.001670,0.000986
42,0.001818,0.001073
43,0.002002,0.001171
44,0.002093,0.001316
45,0.002347,0.001425
46,0.002488,0.001564
47,0.002696,0.001695
48,0.002852,0.001840
49,0.003189,0.001943
50,0.003379,0.002169
51,0.003606,0.002358
52,0.003907,0.002557
53,0.004125,0.002697
54,0.004478,0.002914
55,0.004760,0.003194
56,0.005389,0.003542
57,0.005856,0.003816
58,0.006394,0.004230
59,0.006930,0.004616
60,0.007595,0.005054
61,0.008313,0.005492
62,0.009223,0.006264
63,0.010178,0.006714
64,0.010947,0.007264
65,0.012025,0.007988
66,0.013330,0.008573
67,0.014437,0.009380
68,0.015740,0.010330
69,0.017289,0.011296
70,0.018286,0.012437
71,0.020276,0.013337
72,0.022326,0.015241
73,0.025500,0.017347
74,0.028123,0.019167
75,0.031402,0.021437
76,0.035115,0.024217
77,0.038838,0.027308
78,0.043521,0.030961
79,0.048099,0.034481
80,0.053982,0.038463
81,0.060071,0.043634
82,0.066512,0.048958
83,0.075396,0.056269
84,0.084755,0.063935
85,0.094664,0.072462
86,0.106853,0.083094
87,0.118585,0.093462
88,0.133359,0.106434
89,0.149851,0.118942
90,0.159530,0.134387
91,0.179055,0.150755
92,0.196950,0.167079
93,0.215044,0.184344
94,0.238086,0.204467
95,0.261012,0.228210
96,0.286714,0.250765
97,0.304113,0.267058
98,0.325892,0.291260
99,0.369540,0.309526
100,0.384386,0.343363
