Age group,subfertility rate per 1000,subfertility_low,subfertility_high,subfertility_rate,subfertility_rate_low,subfertility_rate_high,subfertility_probability_GFD,subfertility_probability_GFD_upper,subfertility_probability_GFD_lower,subfertility_SE,subfertility_GFD_alpha,subfertility_GFD_beta,Rate no GFD ,Rate no GFD low,Rate no GFD high,subfertility_probability_no GFD,subfertility_probability_no GFD_upper,subfertility_probability_no GFD_lower,subfertility_no GFD_SE,subfertility_noGFD_alpha,subfertility_noGFD_beta
0,0.3,0.22,0.41,0.0003,0.00022,0.00041,0.000299955,0.000219976,0.000409916,4.85E-05,3.83E+01,1.28E+05,0.000414,0.000141,0.001215,0.000413914,0.00014099,0.001214262,0.000273794,2.284098516,5516.004204
10,0.89,0.74,1.06,0.00089,0.00074,0.00106,0.000889604,0.000739726,0.001059438,8.16E-05,14.99920897,16845.54529,0.0012282,0.0004183,0.0036045,0.001227446,0.000418213,0.003598012,0.000811173,2.285656994,1859.838511
20,1.49,1.31,1.69,0.00149,0.00131,0.00169,0.001488891,0.001309142,0.001688573,9.68E-05,72.15284732,28596.021,0.0020562,0.0007003,0.0060345,0.002054087,0.000700055,0.006016329,0.001356192,2.287243606,1111.221134
30,1.04,0.9,1.2,0.00104,0.0009,0.0012,0.001039459,0.000899595,0.00119928,7.65E-05,74.64524495,43871.65557,0.0014352,0.0004888,0.004212,0.001434171,0.000488681,0.004203142,0.000947567,2.286053485,1591.703878
40,0.08,0.05,0.14,0.00008,0.00005,0.00014,8.00E-05,5.00E-05,0.00013999,2.30E-05,7.433752667,46457.23739,0.0001104,0.0000376,0.000324,0.000110394,3.75993E-05,0.000323948,7.3048E-05,2.283517818,20682.89647
50,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
60,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
70,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
80,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
90,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
100,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
110,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
120,0,0,0,0,0,0,0,0,0,0.00E+00,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
