"","x"
"0.5 0.5 IgAEMA",0.299985641936344
"0.6 0.5 IgAEMA",0.337724266907285
"0.7 0.5 IgAEMA",0.371278027570934
"0.8 0.5 IgAEMA",0.401349080190849
"0.9 0.5 IgAEMA",0.428483461202379
"0.9999 0.5 IgAEMA",0.453090256741615
"0.5 0.6 IgAEMA",0.346474432177496
"0.6 0.6 IgAEMA",0.386711688745664
"0.7 0.6 IgAEMA",0.421949892448588
"0.8 0.6 IgAEMA",0.453113758029962
"0.9 0.6 IgAEMA",0.480904304274803
"0.9999 0.6 IgAEMA",0.505840962926678
"0.5 0.7 IgAEMA",0.410696798341984
"0.6 0.7 IgAEMA",0.453113758029961
"0.7 0.7 IgAEMA",0.489515697158523
"0.8 0.7 IgAEMA",0.52114796372376
"0.9 0.7 IgAEMA",0.548923984532026
"0.9999 0.7 IgAEMA",0.573508281545805
"0.5 0.8 IgAEMA",0.505864660138081
"0.6 0.8 IgAEMA",0.548923984532026
"0.7 0.8 IgAEMA",0.5848173025552
"0.8 0.8 IgAEMA",0.615243317606059
"0.9 0.8 IgAEMA",0.64139234952736
"0.9999 0.8 IgAEMA",0.664104976327374
"0.5 0.9 IgAEMA",0.664126232231333
"0.6 0.9 IgAEMA",0.701759020910567
"0.7 0.9 IgAEMA",0.731677243190733
"0.8 0.9 IgAEMA",0.756060372789216
"0.9 0.9 IgAEMA",0.776330156830574
"0.9999 0.9 IgAEMA",0.793440104020978
"0.5 0.9999 IgAEMA",0.999453848907719
"0.6 0.9999 IgAEMA",0.999544822497039
"0.7 0.9999 IgAEMA",0.99960981625973
"0.8 0.9999 IgAEMA",0.999658568489541
"0.9 0.9999 IgAEMA",0.999696490984956
"0.9999 0.9999 IgAEMA",0.99972680425097
"0.5 0.5 IgATTGplusEMA",0.61462923338777
"0.6 0.5 IgATTGplusEMA",0.654310306418712
"0.7 0.5 IgATTGplusEMA",0.686363144478977
"0.8 0.5 IgATTGplusEMA",0.712837250993557
"0.9 0.5 IgATTGplusEMA",0.735097696107083
"0.9999 0.5 IgATTGplusEMA",0.754074335252476
"0.5 0.6 IgATTGplusEMA",0.662943341644231
"0.6 0.6 IgATTGplusEMA",0.700200077013236
"0.7 0.6 IgATTGplusEMA",0.729870349417379
"0.8 0.6 IgATTGplusEMA",0.754091941442434
"0.9 0.6 IgATTGplusEMA",0.77425943118168
"0.9999 0.6 IgATTGplusEMA",0.791308334965189
"0.5 0.7 IgATTGplusEMA",0.720671989111046
"0.6 0.7 IgATTGplusEMA",0.754091941442434
"0.7 0.7 IgATTGplusEMA",0.780254592856959
"0.8 0.7 IgATTGplusEMA",0.801317131615495
"0.9 0.7 IgATTGplusEMA",0.818652142898357
"0.9999 0.7 IgATTGplusEMA",0.833163401329895
"0.5 0.8 IgATTGplusEMA",0.791324091257146
"0.6 0.8 IgATTGplusEMA",0.818652142898357
"0.7 0.8 IgATTGplusEMA",0.839592144329229
"0.8 0.8 IgATTGplusEMA",0.856163200665522
"0.9 0.8 IgATTGplusEMA",0.869610670933344
"0.9999 0.8 IgATTGplusEMA",0.880735553293149
"0.5 0.9 IgATTGplusEMA",0.880745732871878
"0.6 0.9 IgATTGplusEMA",0.898122134335822
"0.7 0.9 IgATTGplusEMA",0.911064166727453
"0.8 0.9 IgATTGplusEMA",0.921080862165539
"0.9 0.9 IgATTGplusEMA",0.929065159648529
"0.9999 0.9 IgATTGplusEMA",0.935573701429577
"0.5 0.9999 IgATTGplusEMA",0.999859428120087
"0.6 0.9999 IgATTGplusEMA",0.999882853114774
"0.7 0.9999 IgATTGplusEMA",0.999899586148039
"0.8 0.9999 IgATTGplusEMA",0.99991213641205
"0.9 0.9999 IgATTGplusEMA",0.999921898018337
"0.9999 0.9999 IgATTGplusEMA",0.999929700456675
"0.5 0.5 IgATTG",0.161783458669913
"0.6 0.5 IgATTG",0.187964580010103
"0.7 0.5 IgATTG",0.212537565858814
"0.8 0.5 IgATTG",0.235648036232904
"0.9 0.5 IgATTG",0.257424338461872
"0.9999 0.5 IgATTG",0.277960081758886
"0.5 0.6 IgATTG",0.194252579125154
"0.6 0.6 IgATTG",0.224267220762411
"0.7 0.6 IgATTG",0.25209889795155
"0.8 0.6 IgATTG",0.27798006235587
"0.9 0.6 IgATTG",0.302110954886821
"0.9999 0.6 IgATTG",0.324643232439249
"0.5 0.7 IgATTG",0.24304915317846
"0.6 0.7 IgATTG",0.27798006235587
"0.7 0.7 IgATTG",0.309796302102598
"0.8 0.7 IgATTG",0.338900533106809
"0.9 0.7 IgATTG",0.365628294370753
"0.9999 0.7 IgATTG",0.390237866526433
"0.5 0.8 IgATTG",0.324665050885971
"0.6 0.8 IgATTG",0.365628294370753
"0.7 0.8 IgATTG",0.401868769526861
"0.8 0.8 IgATTG",0.434164166371756
"0.9 0.8 IgATTG",0.463129300962356
"0.9999 0.8 IgATTG",0.489232007831207
"0.5 0.9 IgATTG",0.489256857609166
"0.6 0.9 IgATTG",0.534525596419679
"0.7 0.9 IgATTG",0.572392700037276
"0.8 0.9 IgATTG",0.604542097573207
"0.9 0.9 IgATTG",0.632181514325266
"0.9999 0.9 IgATTG",0.656177642345272
"0.5 0.9999 IgATTG",0.998945090610952
"0.6 0.9999 IgATTG",0.999120750730983
"0.7 0.9999 IgATTG",0.999246260935941
"0.8 0.9999 IgATTG",0.999340414757368
"0.9 0.9999 IgATTG",0.99941365805504
"0.9999 0.9999 IgATTG",0.999472207849356
