"","x"
"0.5 0.5 IgAEMA",0.1437860564861
"0.6 0.5 IgAEMA",0.166988128433318
"0.7 0.5 IgAEMA",0.188793151413726
"0.8 0.5 IgAEMA",0.209337925303382
"0.9 0.5 IgAEMA",0.228740329609132
"0.9999 0.5 IgAEMA",0.247084847216769
"0.5 0.6 IgAEMA",0.172564653100496
"0.6 0.6 IgAEMA",0.199215302621419
"0.7 0.6 IgAEMA",0.2239909898907
"0.8 0.6 IgAEMA",0.247102720864171
"0.9 0.6 IgAEMA",0.268728460952329
"0.9999 0.6 IgAEMA",0.289000094660668
"0.5 0.7 IgAEMA",0.215926977482901
"0.6 0.7 IgAEMA",0.247102720864171
"0.7 0.7 IgAEMA",0.275633672920569
"0.8 0.7 IgAEMA",0.301870979779615
"0.9 0.7 IgAEMA",0.326102160623812
"0.9999 0.7 IgAEMA",0.34854398759904
"0.5 0.8 IgAEMA",0.289019764307352
"0.6 0.8 IgAEMA",0.326102160623812
"0.7 0.8 IgAEMA",0.359198227329917
"0.8 0.8 IgAEMA",0.388958326986576
"0.9 0.8 IgAEMA",0.415891759400172
"0.9999 0.8 IgAEMA",0.440381066632603
"0.5 0.9 IgAEMA",0.440404484991175
"0.6 0.9 IgAEMA",0.483422583646738
"0.7 0.9 IgAEMA",0.52000569204727
"0.8 0.9 IgAEMA",0.551546303743844
"0.9 0.9 IgAEMA",0.579051670849706
"0.9999 0.9 IgAEMA",0.603248332957534
"0.5 0.9999 IgAEMA",0.998568443369479
"0.6 0.9999 IgAEMA",0.998806686223306
"0.7 0.9999 IgAEMA",0.99897694525515
"0.8 0.9999 IgAEMA",0.999104686359379
"0.9 0.9999 IgAEMA",0.999204068319171
"0.9999 0.9999 IgAEMA",0.999283519803609
"0.5 0.5 IgATTGplusEMA",0.391291951725748
"0.6 0.5 IgATTGplusEMA",0.432760645074129
"0.7 0.5 IgATTGplusEMA",0.468553810257318
"0.8 0.5 IgATTGplusEMA",0.499820107573946
"0.9 0.5 IgATTGplusEMA",0.527406391999111
"0.9999 0.5 IgATTGplusEMA",0.551930267799708
"0.5 0.6 IgATTGplusEMA",0.442189796498363
"0.6 0.6 IgATTGplusEMA",0.484694156685379
"0.7 0.6 IgATTGplusEMA",0.520816917098396
"0.8 0.6 IgATTGplusEMA",0.551953471556172
"0.9 0.6 IgATTGplusEMA",0.579107787120917
"0.9999 0.6 IgATTGplusEMA",0.603001270559041
"0.5 0.7 IgATTGplusEMA",0.509389236674778
"0.6 0.7 IgATTGplusEMA",0.551953471556172
"0.7 0.7 IgATTGplusEMA",0.587408614366631
"0.8 0.7 IgATTGplusEMA",0.617453224497222
"0.9 0.7 IgATTGplusEMA",0.643272349757804
"0.9999 0.7 IgATTGplusEMA",0.665700293468456
"0.5 0.8 IgATTGplusEMA",0.603023768928784
"0.6 0.8 IgATTGplusEMA",0.643272349757804
"0.7 0.8 IgATTGplusEMA",0.675886818850456
"0.8 0.8 IgATTGplusEMA",0.702894288114689
"0.9 0.8 IgATTGplusEMA",0.725651902543784
"0.9999 0.8 IgATTGplusEMA",0.745087575439603
"0.5 0.9 IgATTGplusEMA",0.745105622587504
"0.6 0.9 IgATTGplusEMA",0.776648701152473
"0.7 0.9 IgATTGplusEMA",0.801153953496394
"0.8 0.9 IgATTGplusEMA",0.820760432314062
"0.9 0.9 IgATTGplusEMA",0.836814516238327
"0.9999 0.9 IgATTGplusEMA",0.850195495777606
"0.5 0.9999 IgATTGplusEMA",0.999631521758172
"0.6 0.9999 IgATTGplusEMA",0.999692909917451
"0.7 0.9999 IgATTGplusEMA",0.999736764693207
"0.8 0.9999 IgATTGplusEMA",0.999769659106588
"0.9 0.9999 IgATTGplusEMA",0.999795245624937
"0.9999 0.9999 IgATTGplusEMA",0.999815697658034
"0.5 0.5 IgATTG",0.0680965810715784
"0.6 0.5 IgATTG",0.0806048572358293
"0.7 0.5 IgATTG",0.0927779624601122
"0.8 0.5 IgATTG",0.104629339540519
"0.9 0.5 IgATTG",0.116171714185986
"0.9999 0.5 IgATTG",0.12740604174105
"0.5 0.6 IgATTG",0.0836790179814208
"0.6 0.6 IgATTG",0.0987430554329563
"0.7 0.6 IgATTG",0.113314419158983
"0.8 0.6 IgATTG",0.127417142699544
"0.9 0.6 IgATTG",0.141073705678217
"0.9999 0.6 IgATTG",0.154292132824174
"0.5 0.7 IgATTG",0.108510522649646
"0.6 0.7 IgATTG",0.127417142699544
"0.7 0.7 IgATTG",0.145530423847714
"0.8 0.7 IgATTG",0.162899751304048
"0.9 0.7 IgATTG",0.17957045731207
"0.9999 0.7 IgATTG",0.195568533493913
"0.5 0.8 IgATTG",0.154305158607215
"0.6 0.8 IgATTG",0.17957045731207
"0.7 0.8 IgATTG",0.20335689268115
"0.8 0.8 IgATTG",0.225791666863903
"0.9 0.8 IgATTG",0.246987689990178
"0.9999 0.8 IgATTG",0.267026026754865
"0.5 0.9 IgATTG",0.267045546838069
"0.6 0.9 IgATTG",0.304097105415524
"0.7 0.9 IgATTG",0.33756103521707
"0.8 0.9 IgATTG",0.367937093540501
"0.9 0.9 IgATTG",0.395635892387735
"0.9999 0.9 IgATTG",0.420973718933659
"0.5 0.9999 IgATTG",0.997234629816279
"0.6 0.9999 IgATTG",0.99769444719612
"0.7 0.9999 IgATTG",0.998023151559581
"0.8 0.9999 IgATTG",0.998269824020733
"0.9 0.9999 IgATTG",0.998461765892071
"0.9999 0.9999 IgATTG",0.998615235012961
