"","x"
"No screening",0
"0.5 0.5 IgAEMA",0.0152648779634532
"0.6 0.5 IgAEMA",0.0269482770651841
"0.7 0.5 IgAEMA",0.0473867843344848
"0.8 0.5 IgAEMA",0.0874087514301536
"0.9 0.5 IgAEMA",0.188227460381082
"0.9999 0.5 IgAEMA",0.776528047200724
"0.5 0.6 IgAEMA",0.0234772038810434
"0.6 0.6 IgAEMA",0.0410692538582076
"0.7 0.6 IgAEMA",0.0711395174630738
"0.8 0.6 IgAEMA",0.127613929372373
"0.9 0.6 IgAEMA",0.257358273102859
"0.9999 0.6 IgAEMA",0.777227375662999
"0.5 0.7 IgAEMA",0.0404613517180223
"0.6 0.7 IgAEMA",0.0695035064847929
"0.7 0.7 IgAEMA",0.116926172821508
"0.8 0.7 IgAEMA",0.199258395011853
"0.9 0.7 IgAEMA",0.361089413792282
"0.9999 0.7 IgAEMA",0.777775588567035
"0.5 0.8 IgAEMA",0.0842377865931034
"0.6 0.8 IgAEMA",0.138426169298747
"0.7 0.8 IgAEMA",0.217889076285427
"0.8 0.8 IgAEMA",0.334680542161816
"0.9 0.8 IgAEMA",0.509162051102781
"0.9999 0.8 IgAEMA",0.778172043677241
"0.5 0.9 IgAEMA",0.246114307073896
"0.6 0.9 IgAEMA",0.349891584780291
"0.7 0.9 IgAEMA",0.46122418666479
"0.8 0.9 IgAEMA",0.573368336126421
"0.9 0.9 IgAEMA",0.68051466445468
"0.9999 0.9 IgAEMA",0.778416275696213
"0.5 0.9999 IgAEMA",0.728309467791906
"0.6 0.9999 IgAEMA",0.729129938353264
"0.7 0.9999 IgAEMA",0.72993794622467
"0.8 0.9999 IgAEMA",0.730738810989049
"0.9 0.9999 IgAEMA",0.731535479537815
"0.9999 0.9999 IgAEMA",0.732328923835016
"0.5 0.5 IgATTGplusEMA",0.0152648779634532
"0.6 0.5 IgATTGplusEMA",0.0269482770651841
"0.7 0.5 IgATTGplusEMA",0.0473867843344848
"0.8 0.5 IgATTGplusEMA",0.0874087514301536
"0.9 0.5 IgATTGplusEMA",0.188227460381082
"0.9999 0.5 IgATTGplusEMA",0.776528047200724
"0.5 0.6 IgATTGplusEMA",0.0234772038810434
"0.6 0.6 IgATTGplusEMA",0.0410692538582076
"0.7 0.6 IgATTGplusEMA",0.0711395174630738
"0.8 0.6 IgATTGplusEMA",0.127613929372373
"0.9 0.6 IgATTGplusEMA",0.257358273102859
"0.9999 0.6 IgATTGplusEMA",0.777227375662999
"0.5 0.7 IgATTGplusEMA",0.0404613517180223
"0.6 0.7 IgATTGplusEMA",0.0695035064847929
"0.7 0.7 IgATTGplusEMA",0.116926172821508
"0.8 0.7 IgATTGplusEMA",0.199258395011853
"0.9 0.7 IgATTGplusEMA",0.360941647160349
"0.9999 0.7 IgATTGplusEMA",0.777108909081125
"0.5 0.8 IgATTGplusEMA",0.0842377865931034
"0.6 0.8 IgATTGplusEMA",0.138364401871193
"0.7 0.8 IgATTGplusEMA",0.217626372358676
"0.8 0.8 IgATTGplusEMA",0.333619227166238
"0.9 0.8 IgATTGplusEMA",0.507261204444024
"0.9999 0.8 IgATTGplusEMA",0.773931872659286
"0.5 0.9 IgATTGplusEMA",0.244233833028925
"0.6 0.9 IgATTGplusEMA",0.343647548433783
"0.7 0.9 IgATTGplusEMA",0.449791988850784
"0.8 0.9 IgATTGplusEMA",0.552237142829465
"0.9 0.9 IgATTGplusEMA",0.650387507187535
"0.9999 0.9 IgATTGplusEMA",0.739426736064619
"0.5 0.9999 IgATTGplusEMA",0.670796529354494
"0.6 0.9999 IgATTGplusEMA",0.671617687234285
"0.7 0.9999 IgATTGplusEMA",0.672426143548453
"0.8 0.9999 IgATTGplusEMA",0.673227365722187
"0.9 0.9999 IgATTGplusEMA",0.674024381977791
"0.9999 0.9999 IgATTGplusEMA",0.674818212505645
"0.5 0.5 IgATTG",0.0152648779634532
"0.6 0.5 IgATTG",0.0269482770651841
"0.7 0.5 IgATTG",0.0473867843344848
"0.8 0.5 IgATTG",0.0874087514301536
"0.9 0.5 IgATTG",0.188227460381082
"0.9999 0.5 IgATTG",0.776528047200724
"0.5 0.6 IgATTG",0.0234772038810434
"0.6 0.6 IgATTG",0.0410692538582076
"0.7 0.6 IgATTG",0.0711395174630738
"0.8 0.6 IgATTG",0.127613929372373
"0.9 0.6 IgATTG",0.257358273102859
"0.9999 0.6 IgATTG",0.777227375662999
"0.5 0.7 IgATTG",0.0404613517180223
"0.6 0.7 IgATTG",0.0695035064847929
"0.7 0.7 IgATTG",0.116926172821508
"0.8 0.7 IgATTG",0.199258395011853
"0.9 0.7 IgATTG",0.361089413792282
"0.9999 0.7 IgATTG",0.777775588567035
"0.5 0.8 IgATTG",0.0842377865931034
"0.6 0.8 IgATTG",0.138426169298747
"0.7 0.8 IgATTG",0.217889076285427
"0.8 0.8 IgATTG",0.334680542161816
"0.9 0.8 IgATTG",0.509162051102781
"0.9999 0.8 IgATTG",0.778172043677241
"0.5 0.9 IgATTG",0.246114307073896
"0.6 0.9 IgATTG",0.349891584780291
"0.7 0.9 IgATTG",0.46122418666479
"0.8 0.9 IgATTG",0.573368336126421
"0.9 0.9 IgATTG",0.68051466445468
"0.9999 0.9 IgATTG",0.778416275696213
"0.5 0.9999 IgATTG",0.701194946256489
"0.6 0.9999 IgATTG",0.702013308949443
"0.7 0.9999 IgATTG",0.702819805352537
"0.8 0.9999 IgATTG",0.703619550750961
"0.9 0.9999 IgATTG",0.704415380352383
"0.9999 0.9999 IgATTG",0.705208200540472
"0.5 0.5 IgAEMA plus HLA",0.587013866552166
"0.6 0.5 IgAEMA plus HLA",0.648720789913664
"0.7 0.5 IgAEMA plus HLA",0.695181948135737
"0.8 0.5 IgAEMA plus HLA",0.730466146793528
"0.9 0.5 IgAEMA plus HLA",0.757530547917401
"0.9999 0.5 IgAEMA plus HLA",0.77849028477171
"0.5 0.6 IgAEMA plus HLA",0.63284934577079
"0.6 0.6 IgAEMA plus HLA",0.682418726453268
"0.7 0.6 IgAEMA plus HLA",0.718044336463482
"0.8 0.6 IgAEMA plus HLA",0.744152041494839
"0.9 0.6 IgAEMA plus HLA",0.763658471127524
"0.9999 0.6 IgAEMA plus HLA",0.778495773266858
"0.5 0.7 IgAEMA plus HLA",0.678520370285927
"0.6 0.7 IgAEMA plus HLA",0.714094581839863
"0.7 0.7 IgAEMA plus HLA",0.738568982892172
"0.8 0.7 IgAEMA plus HLA",0.756000282120016
"0.9 0.7 IgAEMA plus HLA",0.768814032509123
"0.9999 0.7 IgAEMA plus HLA",0.778500288857519
"0.5 0.8 IgAEMA plus HLA",0.72080403007941
"0.6 0.8 IgAEMA plus HLA",0.741763905404998
"0.7 0.8 IgAEMA plus HLA",0.755764729202976
"0.8 0.8 IgAEMA plus HLA",0.765634942543276
"0.9 0.8 IgAEMA plus HLA",0.772918677245489
"0.9999 0.8 IgAEMA plus HLA",0.778503831478726
"0.5 0.9 IgAEMA plus HLA",0.75480999589492
"0.6 0.9 IgAEMA plus HLA",0.762691117026488
"0.7 0.9 IgAEMA plus HLA",0.767662891094243
"0.8 0.9 IgAEMA plus HLA",0.771746684315655
"0.9 0.9 IgAEMA plus HLA",0.774353710916042
"0.9999 0.9 IgAEMA plus HLA",0.776579202715897
"0.5 0.9999 IgAEMA plus HLA",0.734857691309504
"0.6 0.9999 IgAEMA plus HLA",0.735631809118022
"0.7 0.9999 IgAEMA plus HLA",0.736406711405795
"0.8 0.9999 IgAEMA plus HLA",0.737182717746808
"0.9 0.9999 IgAEMA plus HLA",0.73796000795684
"0.9999 0.9999 IgAEMA plus HLA",0.738737912590583
"0.5 0.5 IgATTGplusEMA plus HLA",0.745000313814476
"0.6 0.5 IgATTGplusEMA plus HLA",0.756604143472078
"0.7 0.5 IgATTGplusEMA plus HLA",0.764445523166568
"0.8 0.5 IgATTGplusEMA plus HLA",0.770140191310734
"0.9 0.5 IgATTGplusEMA plus HLA",0.774311258024749
"0.9999 0.5 IgATTGplusEMA plus HLA",0.777407694321912
"0.5 0.6 IgATTGplusEMA plus HLA",0.752698395913544
"0.6 0.6 IgATTGplusEMA plus HLA",0.76144615159112
"0.7 0.6 IgATTGplusEMA plus HLA",0.76722189992724
"0.8 0.6 IgATTGplusEMA plus HLA",0.771255561219537
"0.9 0.6 IgATTGplusEMA plus HLA",0.774028870148459
"0.9999 0.6 IgATTGplusEMA plus HLA",0.77594311990865
"0.5 0.7 IgATTGplusEMA plus HLA",0.759645337478819
"0.6 0.7 IgATTGplusEMA plus HLA",0.765233431304335
"0.7 0.7 IgATTGplusEMA plus HLA",0.76868801418701
"0.8 0.7 IgATTGplusEMA plus HLA",0.770586279300641
"0.9 0.7 IgATTGplusEMA plus HLA",0.771477683056613
"0.9999 0.7 IgATTGplusEMA plus HLA",0.771676123996546
"0.5 0.8 IgATTGplusEMA plus HLA",0.763706720531356
"0.6 0.8 IgATTGplusEMA plus HLA",0.765205628196089
"0.7 0.8 IgATTGplusEMA plus HLA",0.765605870862739
"0.8 0.8 IgATTGplusEMA plus HLA",0.764691079989557
"0.9 0.8 IgATTGplusEMA plus HLA",0.763098880669435
"0.9999 0.8 IgATTGplusEMA plus HLA",0.762456243915192
"0.5 0.9 IgATTGplusEMA plus HLA",0.755201324235163
"0.6 0.9 IgATTGplusEMA plus HLA",0.751768027781079
"0.7 0.9 IgATTGplusEMA plus HLA",0.748019858089304
"0.8 0.9 IgATTGplusEMA plus HLA",0.747033564165601
"0.9 0.9 IgATTGplusEMA plus HLA",0.744504260988929
"0.9999 0.9 IgATTGplusEMA plus HLA",0.743809490093991
"0.5 0.9999 IgATTGplusEMA plus HLA",0.734864256866882
"0.6 0.9999 IgATTGplusEMA plus HLA",0.735636195009331
"0.7 0.9999 IgATTGplusEMA plus HLA",0.736409536681226
"0.8 0.9999 IgATTGplusEMA plus HLA",0.737184369226501
"0.9 0.9999 IgATTGplusEMA plus HLA",0.737960743471778
"0.9999 0.9999 IgATTGplusEMA plus HLA",0.738737913253988
"0.5 0.5 IgATTG plus HLA",0.372836138622279
"0.6 0.5 IgATTG plus HLA",0.479039376205083
"0.7 0.5 IgATTG plus HLA",0.574217801616719
"0.8 0.5 IgATTG plus HLA",0.655702019408263
"0.9 0.5 IgATTG plus HLA",0.723378841367587
"0.9999 0.5 IgATTG plus HLA",0.778459329326356
"0.5 0.6 IgATTG plus HLA",0.451628363454525
"0.6 0.6 IgATTG plus HLA",0.549004912102117
"0.7 0.6 IgATTG plus HLA",0.628325806926544
"0.8 0.6 IgATTG plus HLA",0.691159509453467
"0.9 0.6 IgATTG plus HLA",0.740276078178287
"0.9999 0.6 IgATTG plus HLA",0.778475123798426
"0.5 0.7 IgATTG plus HLA",0.543505599995278
"0.6 0.7 IgATTG plus HLA",0.621924780906209
"0.7 0.7 IgATTG plus HLA",0.679877625761844
"0.8 0.7 IgATTG plus HLA",0.72265708642686
"0.9 0.7 IgATTG plus HLA",0.754500316667187
"0.9999 0.7 IgATTG plus HLA",0.778487888141388
"0.5 0.8 IgATTG plus HLA",0.641002806365972
"0.6 0.8 IgATTG plus HLA",0.690858373388732
"0.7 0.8 IgATTG plus HLA",0.724722185115713
"0.8 0.8 IgATTG plus HLA",0.748476276693108
"0.9 0.8 IgATTG plus HLA",0.765677486757181
"0.9999 0.8 IgATTG plus HLA",0.778497622041034
"0.5 0.9 IgATTG plus HLA",0.72657539836516
"0.6 0.9 IgATTG plus HLA",0.745669094473545
"0.7 0.9 IgATTG plus HLA",0.758211127835946
"0.8 0.9 IgATTG plus HLA",0.767001792800254
"0.9 0.9 IgATTG plus HLA",0.773496526304474
"0.9999 0.9 IgATTG plus HLA",0.778504325258059
"0.5 0.9999 IgATTG plus HLA",0.734849296274572
"0.6 0.9999 IgATTG plus HLA",0.735626201468197
"0.7 0.9999 IgATTG plus HLA",0.736403099271943
"0.8 0.9999 IgATTG plus HLA",0.737180606391863
"0.9 0.9999 IgATTG plus HLA",0.737959067653936
"0.9999 0.9999 IgATTG plus HLA",0.738737911742479
