"","output.test_costs","output.diagnosis_costs","output.fp_costs","output.cycle_costs","output.average_costs"
"No screening",0,0,0,392.045685650833,18542.9806514424
"0.5 0.5 IgAEMA",1257.05802496456,3.78710376199596,0,392.091685864669,19806.8356881668
"0.6 0.5 IgAEMA",1257.89606364787,4.53545360718079,0,392.126893408306,19810.7257935336
"0.7 0.5 IgAEMA",1258.73410233118,5.28082197887883,0,392.188484185981,19816.339237818
"0.8 0.5 IgAEMA",1259.57214101449,6.02322665923811,0,392.309089083639,19825.8111585417
"0.9 0.5 IgAEMA",1260.4101796978,6.7626852892785,0,392.612902987787,19847.2679525735
"0.9999 0.5 IgAEMA",1261.24738034242,7.49848029722784,0,394.385727694174,19964.8412625203
"0.5 0.6 IgAEMA",1174.0921953169,4.72207451620444,0,392.11643344203,19726.4241245943
"0.6 0.6 IgAEMA",1174.93023400021,5.65239367462084,0,392.169446513127,19731.6612590651
"0.7 0.6 IgAEMA",1175.76827268352,6.57809586450911,0,392.260062275614,19739.3542138592
"0.8 0.6 IgAEMA",1176.60631136682,7.49921537028903,0,392.430246081231,19752.2489202321
"0.9 0.6 IgAEMA",1177.44435005013,8.41578613776881,0,392.821226446086,19779.5863439581
"0.9999 0.6 IgAEMA",1178.28155069476,9.32693196687618,0,394.387835097776,19883.8417771829
"0.5 0.7 IgAEMA",1091.12636566924,6.27003934105292,0,392.167614619776,19648.3551710785
"0.6 0.7 IgAEMA",1091.96440435254,7.49921537028903,0,392.25513220968,19656.1488786013
"0.7 0.7 IgAEMA",1092.80244303585,8.72030471512228,0,392.398038874076,19667.5587438597
"0.8 0.7 IgAEMA",1093.64048171916,9.93338691671072,0,392.646144350937,19685.8440209984
"0.9 0.7 IgAEMA",1094.47852040247,11.1385404764587,0,393.133816868663,19719.7968347201
"0.9999 0.7 IgAEMA",1095.3157210471,12.334649466675,0,394.389487119552,19803.9917609143
"0.5 0.8 IgAEMA",1008.16053602157,9.32784177831518,0,392.299533484117,19577.0789221086
"0.6 0.8 IgAEMA",1008.99857470488,11.1385404764587,0,392.462828414994,19590.4124515262
"0.7 0.8 IgAEMA",1009.83661338819,12.9315738214496,0,392.702287303704,19608.7119121159
"0.8 0.8 IgAEMA",1010.6746520715,14.7071990757125,0,393.054234591943,19634.3543593865
"0.9 0.8 IgAEMA",1011.51269075481,16.4656685304172,0,393.580028950794,19671.3548955489
"0.9999 0.8 IgAEMA",1012.34989139944,18.2054964284432,0,394.390681824148,19726.974950711
"0.5 0.9 IgAEMA",925.194706373914,18.2072296249806,0,392.787343119738,19534.91107375
"0.6 0.9 IgAEMA",926.032745057223,21.6405929256912,0,393.100072574716,19559.6451390395
"0.7 0.9 IgAEMA",926.870783740533,25.0091757867658,0,393.435569753657,19585.8041724957
"0.8 0.9 IgAEMA",927.708822423843,28.3147944822128,0,393.773512504857,19612.0602616402
"0.9 0.9 IgAEMA",928.546861107152,31.559198016633,0,394.096394484435,19637.2696720099
"0.9999 0.9 IgAEMA",929.384061751779,34.7409155278467,0,394.391417809402,19660.592697502
"0.5 0.9999 IgAEMA",15.1153655559005,350.166972695823,0,394.245910466821,19052.293055274
"0.6 0.9999 IgAEMA",15.1304042392102,351.221192689511,0,394.248383223708,19053.5241152821
"0.7 0.9999 IgAEMA",15.1454429225199,351.978407472976,0,394.250818342091,19054.4557065465
"0.8 0.9999 IgAEMA",15.1604816058296,352.548632558092,0,394.253231879046,19055.1988954658
"0.9 0.9999 IgAEMA",15.1755202891393,352.993519675273,0,394.2556327295,19055.8159159146
"0.9999 0.9999 IgAEMA",15.1905439337657,353.349980124995,0,394.258023830971,19056.3438564382
"0.5 0.5 IgATTGplusEMA",1273.37503912388,3.78710376199596,0,392.091685864669,19823.1527023262
"0.6 0.5 IgATTGplusEMA",1274.22395581662,4.53545360718079,0,392.126893408306,19827.0536857024
"0.7 0.5 IgATTGplusEMA",1275.07287250937,5.28082197887883,0,392.188484185981,19832.6780079962
"0.8 0.5 IgATTGplusEMA",1275.92178920212,6.02322665923811,0,392.309089083639,19842.1608067293
"0.9 0.5 IgATTGplusEMA",1276.77070589487,6.7626852892785,0,392.612902987787,19863.6284787706
"0.9999 0.5 IgATTGplusEMA",1277.61877367093,7.49848029722784,0,394.385727694174,19981.2126558488
"0.5 0.6 IgATTGplusEMA",1189.3322865417,4.72207451620444,0,392.11643344203,19741.6642158191
"0.6 0.6 IgATTGplusEMA",1190.18120323445,5.65239367462084,0,392.169446513127,19746.9122282993
"0.7 0.6 IgATTGplusEMA",1191.0301199272,6.57809586450911,0,392.260062275614,19754.6160611029
"0.8 0.6 IgATTGplusEMA",1191.87903661995,7.49921537028903,0,392.430246081231,19767.5216454852
"0.9 0.6 IgATTGplusEMA",1192.7279533127,8.41578613776881,0,392.821226446086,19794.8699472207
