"","output.cycle_qalys","output.disutility_biopsy"
"No screening",0.645672968796578,0
"0.5 0.5 IgAEMA",0.645914729566545,0.0040190921546286
"0.6 0.5 IgAEMA",0.646099767898946,0.0040190921546286
"0.7 0.5 IgAEMA",0.646423467129705,0.0040190921546286
"0.8 0.5 IgAEMA",0.647057323594448,0.0040190921546286
"0.9 0.5 IgAEMA",0.648654061462998,0.0040190921546286
"0.9999 0.5 IgAEMA",0.657971397846691,0.0040190921546286
"0.5 0.6 IgAEMA",0.646044794034915,0.0040190921546286
"0.6 0.6 IgAEMA",0.646323411889441,0.0040190921546286
"0.7 0.6 IgAEMA",0.646799656121437,0.0040190921546286
"0.8 0.6 IgAEMA",0.647694081700162,0.0040190921546286
"0.9 0.6 IgAEMA",0.649748935496847,0.0040190921546286
"0.9999 0.6 IgAEMA",0.657982473610802,0.0040190921546286
"0.5 0.7 IgAEMA",0.646313784109263,0.0040190921546286
"0.6 0.7 IgAEMA",0.646773745447619,0.0040190921546286
"0.7 0.7 IgAEMA",0.647524812069632,0.0040190921546286
"0.8 0.7 IgAEMA",0.648828766249776,0.0040190921546286
"0.9 0.7 IgAEMA",0.651391799626037,0.0040190921546286
"0.9999 0.7 IgAEMA",0.657991156049935,0.0040190921546286
"0.5 0.8 IgAEMA",0.647007102760558,0.0040190921546286
"0.6 0.8 IgAEMA",0.647865322862779,0.0040190921546286
"0.7 0.8 IgAEMA",0.649123833649626,0.0040190921546286
"0.8 0.8 IgAEMA",0.650973543472623,0.0040190921546286
"0.9 0.8 IgAEMA",0.653736931692794,0.0040190921546286
"0.9999 0.8 IgAEMA",0.657997434992546,0.0040190921546286
"0.5 0.9 IgAEMA",0.649570856779732,0.0040190921546286
"0.6 0.9 IgAEMA",0.651214451613798,0.0040190921546286
"0.7 0.9 IgAEMA",0.652977705510649,0.0040190921546286
"0.8 0.9 IgAEMA",0.654753812465847,0.0040190921546286
"0.9 0.9 IgAEMA",0.65645076535979,0.0040190921546286
